"","date","datetime","site","precip","Ca","Mg","K","Na","Al","NH4","pH","SO4","NO3","Cl","PO4","SiO2","sp.cond","note","canonical"
"45",1964-09-14,NA,"S",NA,0.48,0.96,0.14,0.2,0.11,0.61,3.41,12.2,4.36,8.5,NA,NA,NA,2,TRUE
"46",1964-09-21,NA,"S",NA,2.72,0.5,0.4,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"47",1964-09-28,NA,"S",NA,0.72,0.16,0.17,0.3,NA,NA,3.02,3.4,0.05,NA,NA,NA,NA,2,TRUE
"48",1964-10-05,NA,"S",NA,0.61,0.18,0.11,0.77,0.36,0.1,3.99,1.84,0.06,7.7,NA,NA,NA,2,TRUE
"49",1964-10-20,NA,"S",NA,1.49,0.61,0.53,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"50",1964-10-27,NA,"S",NA,0.64,0.71,0.12,1.37,0.99,0.1,4.16,1.04,0.01,17,NA,NA,NA,2,TRUE
"51",1964-11-03,NA,"S",NA,2.56,0.8,1.64,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"52",1964-11-09,NA,"S",NA,0.5,0.41,0.19,0.62,1.62,NA,3.84,3.16,0.01,17,NA,NA,NA,2,TRUE
"53",1964-11-16,NA,"S",NA,0.62,0.75,0.36,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"54",1964-11-20,NA,"S",NA,NA,NA,NA,NA,NA,0.1,4.23,2.9,1.19,1.7,NA,NA,NA,0,TRUE
"55",1964-11-24,NA,"S",NA,0.18,0.15,0.03,0.13,NA,NA,3.68,2.64,0.52,14,NA,NA,NA,2,TRUE
"56",1964-11-30,NA,"S",NA,0.05,0.03,0.04,0.18,NA,0.005,4.5,1.55,0.02,0.52,NA,NA,NA,7,TRUE
"57",1964-12-07,NA,"S",NA,0.1,0.01,0.01,0.03,NA,0.005,4.68,0.89,0.4,0.14,NA,NA,NA,7,TRUE
"58",1964-12-14,NA,"S",NA,0.03,0.03,0.15,0.05,NA,0.03,4.13,4.55,5.32,0.33,NA,NA,NA,0,TRUE
"59",1964-12-21,NA,"S",NA,0.46,0.65,0.13,0.2,NA,NA,4.98,NA,NA,NA,NA,NA,NA,7,TRUE
"60",1964-12-28,NA,"S",NA,0.14,0.01,0.01,0.07,NA,0.16,4.45,1.78,0.22,0.15,NA,NA,NA,7,TRUE
"61",1965-01-04,NA,"S",NA,0.8,0.12,0.2,NA,NA,0.02,4.1,7.22,4.02,0.34,NA,NA,NA,7,TRUE
"62",1965-01-11,NA,"S",NA,0.16,0.06,0.04,0.38,NA,0.02,3.99,4.58,1.36,0.84,NA,NA,NA,7,TRUE
"63",1965-01-18,NA,"S",NA,0.13,0.03,0.08,0.13,NA,1.3,5.85,1.9,0.69,0.52,NA,NA,NA,7,TRUE
"64",1965-01-25,NA,"S",NA,0.02,0.02,0.01,0.04,NA,0.8,4.88,0.62,0.02,0.16,NA,NA,NA,7,TRUE
"65",1965-02-01,NA,"S",NA,0.27,0.04,0.04,0.16,NA,1.17,5.85,2.64,0.93,0.57,NA,NA,NA,7,TRUE
"66",1965-02-08,NA,"S",NA,0.09,0.03,0.04,0.09,NA,0.11,4.6,1.9,0.34,0.25,NA,NA,NA,7,TRUE
"67",1965-02-15,NA,"S",NA,0.07,0.02,0.04,0.1,NA,0.06,4.29,2.21,0.41,0.21,NA,NA,NA,7,TRUE
"68",1965-02-23,NA,"S",NA,0.39,0.06,0.1,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"69",1965-03-01,NA,"S",NA,0.16,0.07,0.05,0.46,NA,0.01,4.36,0.78,0.18,1.52,NA,NA,NA,7,TRUE
