Year,Watershed,Plot,Zone,Species,SppNum,Seq,Tag,Dbh,Vigor,AbvBmss,BlwBmss,TwotoTen,10Area,TwotoTenArea,ElevB
2011,1,2,1,BEAL,3,65,6101,37.3,0,1004.39,198.31,1.00,625.00,0.00,H
2011,1,2,1,BEAL,3,66,6102,32.1,0,694.27,140.04,1.00,625.00,0.00,H
2011,1,2,1,BEPA,11,67,6103,13.1,0,69.23,15.35,1.00,625.00,0.00,H
2011,1,2,1,BEPA,11,68,6104,23.6,5,69.32,9.14,1.00,625.00,0.00,H
2011,1,2,1,BEAL,3,69,6105,22.5,0,281.91,59.47,1.00,625.00,0.00,H
2011,1,2,1,BEPA,11,70,6106,11.4,5,11.97,1.53,1.00,625.00,0.00,H
2011,1,2,1,ABBA,9,71,6107,19.8,0,109.09,36.05,1.00,625.00,0.00,H
2011,1,2,1,BEPA,11,72,6108,23.0,5,65.34,8.61,1.00,625.00,0.00,H
2011,1,2,1,BEPA,11,73,6109,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,2,1,BEPA,11,74,6110,16.8,5,31.17,4.05,1.00,625.00,0.00,H
2011,1,2,1,PIRU,10,75,6111,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,2,1,BEAL,3,76,6112,15.9,0,113.21,24.74,1.00,625.00,0.00,H
2011,1,2,1,BEPA,11,77,6113,24.2,5,73.42,9.69,1.00,625.00,0.00,H
2011,1,2,1,ABBA,9,78,6114,16.9,0,73.25,25.43,1.00,625.00,0.00,H
2011,1,2,1,PIRU,10,79,6115,14.0,0,57.02,20.02,1.00,625.00,0.00,H
2011,1,2,1,BEPA,11,80,6116,23.8,0,312.52,65.62,1.00,625.00,0.00,H
2011,1,2,1,BEAL,3,81,6117,18.8,0,176.41,37.94,1.00,625.00,0.00,H
2011,1,2,1,BEPA,11,82,6118,14.9,4,70.12,5.14,1.00,625.00,0.00,H
2011,1,2,1,PIRU,10,83,6119,15.9,0,74.84,26.11,1.00,625.00,0.00,H
2011,1,2,1,BEAL,3,84,8580,13.1,0,67.37,14.95,1.00,625.00,0.00,H
2011,1,2,1,FAGR,2,85,8591,10.1,0,38.66,9.92,1.00,625.00,0.00,H
2011,1,2,1,BEAL,3,86,8581,12.6,0,60.67,13.50,1.00,625.00,0.00,H
